company_id,line_id,from_station_id,to_station_id,from_lat,from_lon,to_lat,to_lon
3,112,5410,6758,35.002331,138.44111,34.984033000000004,138.412751
3,112,6758,4995,34.984033000000004,138.412751,34.97179000000001,138.389603
3,112,4995,290,34.97179000000001,138.389603,34.94117,138.36408899999998
3,112,290,8890,34.94117,138.36408899999998,34.922488,138.359842
3,112,8890,3897,34.922488,138.359842,34.872177,138.318596
3,112,3897,4806,34.872177,138.318596,34.859955,138.285544
3,112,4806,6937,34.859955,138.285544,34.849678000000004,138.252769
3,112,6937,9085,34.849678000000004,138.252769,34.836584,138.204271
3,112,9085,6626,34.836584,138.204271,34.830065999999995,138.173498
3,112,6626,1892,34.830065999999995,138.173498,34.819044,138.12551100000002
3,112,1892,1541,34.819044,138.12551100000002,34.761877,138.085925
3,112,1541,1232,34.761877,138.085925,34.769293,138.015197
3,112,1232,9230,34.769293,138.015197,34.75209,137.961095
3,112,9230,5500,34.75209,137.961095,34.741347999999995,137.92613400000002
3,112,5500,9771,34.741347999999995,137.92613400000002,34.717967,137.88489099999998
3,112,9771,7643,34.717967,137.88489099999998,34.710239,137.852253
3,112,7643,8243,34.710239,137.852253,34.712182,137.819756
3,112,8243,6449,34.712182,137.819756,34.716903,137.779369
3,112,6449,7841,34.716903,137.779369,34.703786,137.735276
3,112,7841,2606,34.703786,137.735276,34.690486,137.68149
3,112,2606,7983,34.690486,137.68149,34.685596000000004,137.62644
3,112,7983,8156,34.685596000000004,137.62644,34.690096000000004,137.603025
3,112,8156,4209,34.690096000000004,137.603025,34.694205,137.568888
3,112,4209,9139,34.694205,137.568888,34.71673,137.546168
3,112,9139,4258,34.71673,137.546168,34.72325,137.484199
3,112,4258,7209,34.72325,137.484199,34.725783,137.438954
3,112,7209,8206,34.725783,137.438954,34.762822,137.381075
3,112,8206,4799,34.762822,137.381075,34.797133,137.35257099999998
3,112,4799,193,34.797133,137.35257099999998,34.812464,137.316573
3,112,193,2980,34.812464,137.316573,34.815769,137.28290900000002
3,112,2980,2976,34.815769,137.28290900000002,34.818462,137.2483
3,112,2976,1269,34.818462,137.2483,34.822712,137.22736799999998
3,112,1269,2971,34.822712,137.22736799999998,34.825488,137.201471
3,112,2971,2945,34.825488,137.201471,34.836319,137.176751
3,112,2945,2378,34.836319,137.176751,34.859594,137.16458400000002
3,112,2378,9613,34.859594,137.16458400000002,34.887535,137.16038899999998
3,112,9613,856,34.887535,137.16038899999998,34.925303,137.157263
3,112,856,4724,34.925303,137.157263,34.946639000000005,137.122945
3,112,4724,270,34.946639000000005,137.122945,34.96047,137.086476
3,112,270,2968,34.96047,137.086476,34.970308,137.061377
