company_id,line_id,station_id,station_name,lat,lon,x,y
3,112,3056,三島,35.126749,138.910079,1389100.79,-351267.49
3,112,3887,沼津,35.103081,138.85954099999998,1388595.4099999997,-351030.81000000006
3,112,8151,片浜,35.118217,138.81921,1388192.1,-351182.17000000004
3,112,2124,原（静岡県）,35.124827,138.793489,1387934.89,-351248.27
3,112,6800,東田子の浦,35.136213,138.745494,1387454.9400000002,-351362.13
3,112,1552,吉原,35.143768,138.703079,1387030.79,-351437.68
3,112,7876,富士,35.151321,138.652168,1386521.68,-351513.21
3,112,7890,富士川,35.141154,138.618616,1386186.16,-351411.54
3,112,4195,新蒲原,35.119322,138.60789499999998,1386078.95,-351193.22
3,112,1271,蒲原,35.114044,138.58286999999999,1385828.7,-351140.44
3,112,8862,由比,35.097101,138.55273400000002,1385527.34,-350971.01
3,112,1782,興津,35.052578999999994,138.522044,1385220.44,-350525.7899999999
3,112,4661,清水（静岡県）,35.023358,138.48893600000002,1384889.3600000003,-350233.58
3,112,5410,草薙（東海道本線）,35.002331,138.44111,1384411.1,-350023.31
3,112,6758,東静岡,34.984033000000004,138.41275100000001,1384127.5100000002,-349840.33
3,112,4995,静岡,34.971790000000006,138.389603,1383896.03,-349717.9000000001
3,112,290,安倍川,34.94117,138.36408899999998,1383640.89,-349411.7
3,112,8890,用宗,34.922488,138.359842,1383598.42,-349224.88
3,112,3897,焼津,34.872177,138.31859599999999,1383185.96,-348721.77
3,112,4806,西焼津,34.859955,138.285544,1382855.44,-348599.55
3,112,6937,藤枝,34.849678000000004,138.252769,1382527.69,-348496.78
3,112,9085,六合,34.836584,138.204271,1382042.71,-348365.84
3,112,6626,島田（静岡県）,34.830065999999995,138.173498,1381734.98,-348300.66
3,112,1892,金谷（静岡県）,34.819044,138.12551100000002,1381255.11,-348190.44
3,112,1541,菊川（静岡県）,34.761877,138.085925,1380859.25,-347618.76999999996
3,112,1232,掛川,34.769293,138.015197,1380151.97,-347692.93
3,112,9230,愛野（静岡県）,34.75209,137.961095,1379610.95,-347520.9
