id,name,lat,lon
6343,椎名町,35.72325,139.697555
6793,東長崎,35.726861,139.686194
2421,江古田,35.734333,139.676028
2896,桜台（東京都）,35.735472,139.665583
9060,練馬,35.734623,139.657426
6091,中村橋,35.733444,139.640305
7884,富士見台,35.732639,139.632972
9061,練馬高野台,35.737277,139.620111
5040,石神井公園,35.740498,139.609597
5669,大泉学園,35.746194,139.59
8159,保谷,35.744833,139.571166
108,ひばりヶ丘（東京都）,35.748222,139.549055
4236,新桜台,35.737749,139.672083
4307,新大塚,35.722888,139.732611
9173,茗荷谷,35.713583,139.740444
2263,後楽園,35.704111,139.754306
8457,本郷三丁目,35.70375,139.762639
5901,淡路町,35.691667,139.770833
5630,大手町（東京都）,35.683808,139.769559
1908,銀座,35.669709,139.766399
1116,霞ヶ関（東京都）,35.671076,139.755802
2659,国会議事堂前,35.671717,139.749208
5079,赤坂見附,35.673666,139.740527
3188,四谷三丁目,35.684583,139.722888
4255,新宿御苑前,35.685249,139.714194
4256,新宿三丁目,35.688236,139.70675
4813,西新宿,35.691222,139.695777
6139,中野坂上,35.693884,139.685022
4312,新中野,35.694222,139.672694
6692,東高円寺,35.694694,139.661499
4228,新高円寺,35.694527,139.651499
7038,南阿佐ヶ谷,35.696222,139.638805
6141,中野新橋,35.68875,139.676917
6144,中野富士見町,35.687333,139.670194
5270,浅草,35.70673,139.800443
6468,田原町（東京都）,35.706694,139.793611
474,稲荷町（東京都）,35.708138,139.785388
4070,上野広小路,35.704416,139.77625
8527,末広町（東京都）,35.6995,139.775
2964,三越前,35.684581,139.776545
7297,日本橋（東京都）,35.678765,139.776624
1725,京橋（東京都）,35.673583,139.773333
2212,虎ノ門,35.666944,139.753305
9002,溜池山王,35.668583,139.744714
4972,青山一丁目,35.669583,139.727778
1193,外苑前,35.667083,139.720861
7820,表参道,35.662056,139.715833
5507,代々木公園,35.665917,139.693222
8598,明治神宮前,35.665975,139.707086
7330,乃木坂,35.663331,139.729397
5077,赤坂（東京都）,35.669071,139.739682
7290,日比谷,35.671071,139.762178
7201,二重橋前,35.677194,139.764833
4225,新御茶ノ水,35.693666,139.768611
6907,湯島,35.703638,139.773111
2762,根津,35.714194,139.768861
5153,千駄木,35.722444,139.766471
6190,町屋〔千代田線〕,35.738521,139.783086
8911,落合（東京都）,35.7075,139.689277
5357,早稲田〔東西線〕,35.702543,139.724824
4435,神楽坂,35.700583,139.737888
1921,九段下,35.692239,139.754662
5972,竹橋,35.687222,139.760666
1303,茅場町,35.677028,139.782611
8702,門前仲町,35.668836,139.798872
8657,木場,35.666138,139.809972
6866,東陽町,35.666389,139.820944
7088,南砂町,35.665569,139.833944
4734,西葛西,35.661194,139.862972
1262,葛西,35.66036,139.87536
616,浦安（千葉県）,35.662666,139.89625
7082,南行徳,35.669139,139.905139
